"ensembl_gene_id","schizo_sft8_minSize30_cutHeight0.15","schizo_sft8_minSize30_cutHeight0.2","schizo_sft8_minSize30_cutHeight0.25","schizo_sft8_minSize50_cutHeight0.15","schizo_sft8_minSize50_cutHeight0.2","schizo_sft8_minSize50_cutHeight0.25","schizo_sft9_minSize30_cutHeight0.15","schizo_sft9_minSize30_cutHeight0.2","schizo_sft9_minSize30_cutHeight0.25","schizo_sft9_minSize50_cutHeight0.15","schizo_sft9_minSize50_cutHeight0.2","schizo_sft9_minSize50_cutHeight0.25","schizo_sft10_minSize30_cutHeight0.15","schizo_sft10_minSize30_cutHeight0.2","schizo_sft10_minSize30_cutHeight0.25","schizo_sft10_minSize50_cutHeight0.15","schizo_sft10_minSize50_cutHeight0.2","schizo_sft10_minSize50_cutHeight0.25","bipolar_sft8_minSize30_cutHeight0.15","bipolar_sft8_minSize30_cutHeight0.2","bipolar_sft8_minSize30_cutHeight0.25","bipolar_sft8_minSize50_cutHeight0.15","bipolar_sft8_minSize50_cutHeight0.2","bipolar_sft8_minSize50_cutHeight0.25","bipolar_sft9_minSize30_cutHeight0.15","bipolar_sft9_minSize30_cutHeight0.2","bipolar_sft9_minSize30_cutHeight0.25","bipolar_sft9_minSize50_cutHeight0.15","bipolar_sft9_minSize50_cutHeight0.2","bipolar_sft9_minSize50_cutHeight0.25","bipolar_sft12_minSize30_cutHeight0.15","bipolar_sft12_minSize30_cutHeight0.2","bipolar_sft12_minSize30_cutHeight0.25","bipolar_sft12_minSize50_cutHeight0.15","bipolar_sft12_minSize50_cutHeight0.2","bipolar_sft12_minSize50_cutHeight0.25","bipolar_sft14_minSize30_cutHeight0.15","bipolar_sft14_minSize30_cutHeight0.2","bipolar_sft14_minSize30_cutHeight0.25","bipolar_sft14_minSize50_cutHeight0.15","bipolar_sft14_minSize50_cutHeight0.2","bipolar_sft14_minSize50_cutHeight0.25","mdd_sft9_minSize30_cutHeight0.15","mdd_sft9_minSize30_cutHeight0.2","mdd_sft9_minSize30_cutHeight0.25","mdd_sft9_minSize50_cutHeight0.15","mdd_sft9_minSize50_cutHeight0.2","mdd_sft9_minSize50_cutHeight0.25","mdd_sft10_minSize30_cutHeight0.15","mdd_sft10_minSize30_cutHeight0.2","mdd_sft10_minSize30_cutHeight0.25","mdd_sft10_minSize50_cutHeight0.15","mdd_sft10_minSize50_cutHeight0.2","mdd_sft10_minSize50_cutHeight0.25","mdd_sft11_minSize30_cutHeight0.15","mdd_sft11_minSize30_cutHeight0.2","mdd_sft11_minSize30_cutHeight0.25","mdd_sft11_minSize50_cutHeight0.15","mdd_sft11_minSize50_cutHeight0.2","mdd_sft11_minSize50_cutHeight0.25","mdd_sft12_minSize30_cutHeight0.15","mdd_sft12_minSize30_cutHeight0.2","mdd_sft12_minSize30_cutHeight0.25","mdd_sft12_minSize50_cutHeight0.15","mdd_sft12_minSize50_cutHeight0.2","mdd_sft12_minSize50_cutHeight0.25"
"ENSG00000123144","1","1","1","1","1","1","3","3","3","3","3","3","0","0","0","0","0","0","10","7","6","7","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","10","8","8","8","7","7","10","9","7","10","7","6","8","8","7","6","7","6","9","7","7","0","0","0"
"ENSG00000157103","14","5","5","10","5","5","6","5","7","6","6","6","7","6","6","4","4","3","5","5","2","3","2","2","16","9","8","5","1","1","0","0","0","0","0","0","0","0","0","0","0","0","2","3","3","2","3","3","14","13","1","0","0","0","15","3","4","2","2","2","4","4","4","0","0","0"
"ENSG00000157106","5","7","7","1","1","1","11","11","10","7","7","7","8","7","4","0","0","0","1","1","1","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","7","4","4","7","6","6","5","5","4","6","6","4","5","5","3","5","5","4","11","3","3","6","6","5"
"ENSG00000157107","12","5","5","8","5","5","6","5","7","6","6","6","7","6","6","0","0","0","10","7","6","13","10","9","14","5","3","12","4","4","5","6","4","0","0","0","0","0","0","0","0","0","2","3","3","2","3","3","4","4","2","4","5","2","15","3","4","1","1","1","4","4","4","3","3","3"
"ENSG00000168209","12","5","5","8","5","5","6","5","7","6","6","6","7","6","6","4","4","3","16","7","6","7","5","5","1","2","2","1","2","2","5","6","4","0","0","0","8","7","3","0","0","0","3","2","2","3","2","2","4","4","2","4","5","2","4","3","4","2","2","2","4","4","4","3","3","3"
"ENSG00000226752","19","15","15","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","4","4","5","2","2","2","3","1","1","2","1","1","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000283674","1","1","1","1","1","1","3","3","3","3","3","3","4","4","1","1","1","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","6","4","4","5","5","4","5","5","4","6","6","4","5","5","3","5","5","4","6","3","3","4","4","1"
"ENSG00000183354","1","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","11","8","4","10","8","4","5","5","3","7","4","4","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000187446","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","2","2","3","5","3","3","2","1","1","2","1","1","3","3","3","2","2","1","1","1","1","3","3","1","9","5","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000011258","2","2","2","2","2","2","2","1","1","5","5","5","3","3","1","7","7","6","7","9","1","4","1","1","11","2","2","1","2","2","9","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000126391","14","5","5","10","5","5","6","5","7","6","6","6","7","6","6","0","0","0","1","1","1","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000165516","3","4","4","3","4","4","8","8","6","2","2","2","6","5","5","3","3","2","2","2","3","5","3","3","4","3","4","4","3","3","11","9","8","2","2","1","1","1","1","3","3","1","3","2","2","3","2","2","4","4","2","2","3","2","4","3","4","2","2","2","3","2","2","3","3","3"
"ENSG00000165512","28","6","6","1","1","1","7","6","4","7","7","7","11","10","4","2","2","1","6","6","4","6","4","4","6","4","3","3","6","6","4","5","5","1","1","2","6","5","5","1","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"ENSG00000125844","1","1","1","1","1","1","1","1","1","1","1","1","2","1","2","1","1","1","39","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","2","3","3","2","3","3","3","3","3","5","2","3","3","4","5","4","4","3","1","1","1","1","1","1"
"ENSG00000125845","16","5","5","10","5","5","6","5","7","6","6","6","7","6","6","4","4","3","3","3","2","2","2","2","2","1","1","2","1","1","1","1","1","3","3","1","0","0","0","0","0","0","4","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000125846","7","3","3","4","3","3","20","2","2","0","0","0","0","0","0","0","0","0","16","7","6","7","5","5","10","6","5","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000125841","11","2","2","1","1","1","2","1","1","1","1","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000125843","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","23","18","10","16","13","11","21","14","13","14","10","10","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000125848","7","3","3","2","2","2","4","2","2","4","4","4","1","2","3","3","3","2","5","2","3","3","2","2","2","1","1","2","1","1","1","1","1","2","2","1","18","14","9","3","3","1","19","13","12","1","1","1","2","2","2","3","4","5","2","2","2","3","3","1","2","2","2","2","2","2"
"ENSG00000158796","22","5","5","8","5","5","0","0","0","0","0","0","0","0","0","0","0","0","1","1","1","1","1","1","1","2","2","1","2","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000158792","6","8","8","6","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","8","7","7","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000158793","6","8","8","6","7","6","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"ENSG00000107105","3","4","4","3","4","4","4","2","2","2","2","2","1","2","3","3","3","2","3","3","2","2","2","2","2","1","1","2","1","1","1","1","1","2","2","1","1","1","1","2","2","1","3","2","2","3","2","2","2","2","2","2","3","2","2","2","2","2","2","2","2","2","2","2","2","2"
"ENSG00000130226","1","1","1","1","1","1","1","1","1","1","1","1","3","3","1","1","1","1","8","10","4","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","3","1","1","1","1","2","1","1","1","1","1","1","3","3","3","11","2","3","1","1","1","1","1","1","10","8","8","4","4","1"
"ENSG00000130227","5","7","7","5","6","7","7","6","4","7","7","7","8","7","4","2","2","1","8","10","4","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","6","5","5","1","1","2","5","1","1","1","1","1","9","1","1","1","1","1","1","1","1","1","1","1","10","8","8","4","4","1"
"ENSG00000159228","2","2","2","1","1","1","5","4","5","1","1","1","17","14","12","2","2","1","1","1","1","1","1","1","1","2","2","1","2","2","2","2","2","1","1","2","2","2","2","1","1","2","1","1","1","1","1","1","3","3","3","5","2","3","3","4","5","4","4","3","1","1","1","5","5","4"
"ENSG00000006432","28","6","6","1","1","1","1","1","1","1","1","1","5","1","2","2","2","1","27","10","2","3","2","2","19","8","7","5","1","1","6","4","1","7","6","4","3","1","1","4","2","1","5","1","1","1","1","1","9","1","1","1","1","1","12","1","1","9","9","1","1","1","1","1","1","1"
